Food,Ayurvedic_Taste
Fruit salad (Phalon ka salaad),Sweet (Madhura)
Vermicelli upma (Semiya/Seviyan upma),Sweet (Madhura)
Whole moth (Moth ki dal),Astringent (Kashaya)
Espreso coffee,Sweet (Madhura)
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Sour (Amla)
Washed moong dal (Dhuli moong ki dal),Astringent (Kashaya)
Spinach and potato (Palak aloo),Bitter (Tikta)
Split bengal gram sweet rice (Channa dal sweet rice),Astringent (Kashaya)
Spinach paneer kofta curry (Palak paneer kofta curry),Bitter (Tikta)
Milk cake,Sweet (Madhura)
Rice murukku,Sweet (Madhura)
Masala urad dal vada,Pungent (Katu)
Mashed banana with milk,Sweet (Madhura)
Cereal pulse mix with amylase rice flour,Sweet (Madhura)
"Restaurant, Latino, tamale, pork",Sweet (Madhura)
Clear tomato soup (Tamatar ka soup),Sweet (Madhura)
Naan,Sweet (Madhura)
Sprouted moong dal chat,Astringent (Kashaya)
Saunth/Sonth chutney with ginger,Sour (Amla)
Bread sauce,Salty (Lavana)
Baked eggs in tomato sauce,Salty (Lavana)
Cream of broccoli soup,Sweet (Madhura)
Masala dosa mixed vegetable fillings,Pungent (Katu)
Indian style egg bhujia (Anda bhujia (Indian style)),Sweet (Madhura)
Fruit Punch (with fresh juices),Sweet (Madhura)
Home made egg noodles,Sweet (Madhura)
Tandoori fish,Sweet (Madhura)
Vegetable biryani/biriyani,Sweet (Madhura)
Radish parantha/paratha (Mooli ka parantha/paratha),Sweet (Madhura)
Chicken chowmein,Sweet (Madhura)
Tomato sandwich (grilled),Sweet (Madhura)
Boiled rice (Uble chawal),Sweet (Madhura)
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),Sour (Amla)
"Tomatoes, canned, red, ripe, diced",Sweet (Madhura)
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Sweet (Madhura)
Whole masoor (Masoor ki dal),Astringent (Kashaya)
Coffee pear alaska,Sweet (Madhura)
Sweet rice (Meethe chawal),Sweet (Madhura)
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),Astringent (Kashaya)
Chinese cabbage and meat ball soup,Sweet (Madhura)
Masala dosa paneer fillings,Pungent (Katu)
Paneer pulao,Sweet (Madhura)
Pineapple milkshake with ice cream (Ananas milkshake ice creamÂ keÂ saath),Sweet (Madhura)
Plain dosa,Sweet (Madhura)
Veg paneer stew,Sweet (Madhura)
Cream of mixed vegetable soup,Sweet (Madhura)
Sweet wheat porridge (Sweet dalia),Astringent (Kashaya)
Whole urad (Urad ki dal),Astringent (Kashaya)
Stuffed tomatoes (Bharwa tamatar),Sweet (Madhura)
Rice moong dal cheela (Chawal aur moong dal ka cheela),Astringent (Kashaya)
"Eggs, Grade A, Large, egg yolk",Sweet (Madhura)
Coconut chutney (Nariyal ki chutney),Sour (Amla)
Oatmeal Porridge,Sweet (Madhura)
Egg halwa (Ande ka halwa),Sweet (Madhura)
Coriander chutney (Hare dhaniye ki chutney),Sour (Amla)
"Restaurant, Chinese, fried rice, without meat",Sweet (Madhura)
Chicken and corn open sandwich,Sweet (Madhura)
Spinach peanut namak paras (Palak moongfali namak paras),Bitter (Tikta)
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Sweet (Madhura)
Gooseberry chutney (Amla chutney),Sour (Amla)
"Egg, whole, dried",Sweet (Madhura)
Spinach pakora/pakoda (Palak pakoda),Bitter (Tikta)
Fish curry (Machli curry),Sweet (Madhura)
Spinach raita (Palak ka raita),Bitter (Tikta)
"Egg, yolk, raw, frozen, pasteurized",Sweet (Madhura)
Lotus stem pickle (Kamal kakdi ka achar),Sour (Amla)
Egg pakora/pakoda (Ande ke pakode),Sweet (Madhura)
Sour cream potato salad,Sweet (Madhura)
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),Astringent (Kashaya)
Tossed green salad,Sweet (Madhura)
Dal dhokli,Astringent (Kashaya)
Schezwan chutney,Sour (Amla)
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),Astringent (Kashaya)
Mint tomato chutney (Pudinay aur tamatar ki chutney),Sour (Amla)
Fish in coconut milk (Nariyal ke doodh ke saath machli),Sweet (Madhura)
"Milk, whole, 3.25% milkfat, with added vitamin D",Sweet (Madhura)
